ID Parcela,ID subparcela,Localidad,Estancia,Fecha,Edad,Condición,Especie,Cantidad juveniles,Grado de relevamiento,Observaciones nomeclaturales
18,4,Chamical,La Isla,4/17/2026,,Fuego,Mim car,7,1,
18,4,Chamical,La Isla,4/17/2026,,Fuego,Lar div,6,1,
18,4,Chamical,La Isla,4/17/2026,,Fuego,Sen aph,1,1,
19,1,Chamical,Viscacheras,4/18/2026,,Referencia,Mim car,4,1,
19,1,Chamical,Viscacheras,4/18/2026,,Referencia,Lar div,2,1,
19,2,Chamical,Viscacheras,4/18/2026,,Referencia,Nel tor,1,1,
19,2,Chamical,Viscacheras,4/18/2026,,Referencia,Lar div,2,1,
19,2,Chamical,Viscacheras,4/18/2026,,Referencia,Ata ema,1,1,
19,2,Chamical,Viscacheras,4/18/2026,,Referencia,Cas coc,1,1,
19,2,Chamical,Viscacheras,4/18/2026,,Referencia,Mim car,2,1,
19,3,Chamical,Viscacheras,4/18/2026,,Referencia,Mim car,1,1,
19,3,Chamical,Viscacheras,4/18/2026,,Referencia,Lar div,2,1,
19,3,Chamical,Viscacheras,4/18/2026,,Referencia,Asp que,,1,
19,4,Chamical,Viscacheras,4/18/2026,,Referencia,Lar div,4,1,
19,4,Chamical,Viscacheras,4/18/2026,,Referencia,Mim car,2,1,
20,1,Chamical,Viscacheras,4/18/2026,,Rolado,Lar div,2,1,
20,2,Chamical,Viscacheras,4/18/2026,,Rolado,Nel tor,1,1,
20,2,Chamical,Viscacheras,4/18/2026,,Rolado,Lar div,1,1,
20,3,Chamical,Viscacheras,4/18/2026,,Rolado,Cel chi,2,1,
20,3,Chamical,Viscacheras,4/18/2026,,Rolado,Lar div,1,1,
20,3,Chamical,Viscacheras,4/18/2026,,Rolado,Cer pra,1,1,
20,4,Chamical,Viscacheras,4/18/2026,,Rolado,Cer pra,1,1,
21,1,Chamical,Viscacheras,4/18/2026,,Fuego, -,,1,
21,2,Chamical,Viscacheras,4/18/2026,,Fuego,Lar div,3,1,
21,3,Chamical,Viscacheras,4/18/2026,,Fuego,Geo dec,7,1,
21,3,Chamical,Viscacheras,4/18/2026,,Fuego,Alo sp.,2,1,
21,3,Chamical,Viscacheras,4/18/2026,,Fuego,Lar div,5,1,
21,4,Chamical,Viscacheras,4/18/2026,,Fuego,Lar div,1,1,
22,1,San Luis,Sol Puntano,4/19/2026,,Chacra,Cel pal,3,1,
22,1,San Luis,Sol Puntano,4/19/2026,,Chacra,Lar div,3,1,
22,1,San Luis,Sol Puntano,4/19/2026,,Chacra,Mon spi,1,1,
22,1,San Luis,Sol Puntano,4/19/2026,,Chacra,Sen aph,1,1,
22,2,San Luis,Sol Puntano,4/19/2026,,Chacra,Lar div,6,1,
22,2,San Luis,Sol Puntano,4/19/2026,,Chacra,Mim car,1,1,
22,2,San Luis,Sol Puntano,4/19/2026,,Chacra,Xim ame,1,1,
22,2,San Luis,Sol Puntano,4/19/2026,,Chacra,Con mic,3,1,
22,3,San Luis,Sol Puntano,4/19/2026,,Chacra,Sch fas,4,1,
22,3,San Luis,Sol Puntano,4/19/2026,,Chacra,Cel pal,1,1,
22,3,San Luis,Sol Puntano,4/19/2026,,Chacra,Bac sp.,1,1,Bulisima
22,3,San Luis,Sol Puntano,4/19/2026,,Chacra,Lic sp.,2,1,
22,3,San Luis,Sol Puntano,4/19/2026,,Chacra,Lar div,1,1,
22,4,San Luis,Sol Puntano,4/19/2026,,Chacra,Mim car,2,1,
22,4,San Luis,Sol Puntano,4/19/2026,,Chacra,Cel pal,1,1,
22,4,San Luis,Sol Puntano,4/19/2026,,Chacra,Ata ema,1,1,
22,4,San Luis,Sol Puntano,4/19/2026,,Chacra,Asteracea herborizada,1,1,
23,1,San Luis,Sol Puntano,4/19/2026,,Referencia,Mim car,1,1,
23,1,San Luis,Sol Puntano,4/19/2026,,Referencia,Lar div,3,1,
23,1,San Luis,Sol Puntano,4/19/2026,,Referencia,Cel pal,1,1,
23,2,San Luis,Sol Puntano,4/19/2026,,Referencia,Lar div,3,1,
23,2,San Luis,Sol Puntano,4/19/2026,,Referencia,Con mic,1,1,
23,2,San Luis,Sol Puntano,4/19/2026,,Referencia,Cel pal,1,1,
23,3,San Luis,Sol Puntano,4/19/2026,,Referencia,Mim car,3,1,
23,3,San Luis,Sol Puntano,4/19/2026,,Referencia,Lar div,3,1,
23,3,San Luis,Sol Puntano,4/19/2026,,Referencia,Cel pal,1,1,
23,3,San Luis,Sol Puntano,4/19/2026,,Referencia,Con mic,5,1,
23,3,San Luis,Sol Puntano,4/19/2026,,Referencia,Lic sp.,1,1,
23,3,San Luis,Sol Puntano,4/19/2026,,Referencia,Mon spi,1,1,
23,4,San Luis,Sol Puntano,4/19/2026,,Referencia,Cel pal,9,1,
23,4,San Luis,Sol Puntano,4/19/2026,,Referencia,Lar div,2,1,
23,4,San Luis,Sol Puntano,4/19/2026,,Referencia,Ata ema,1,1,
23,4,San Luis,Sol Puntano,4/19/2026,,Referencia,Con mic,1,1,
24,1,San Luis,Sol Puntano,4/19/2026,,Rolado,Sen aph,2,1,
24,1,San Luis,Sol Puntano,4/19/2026,,Rolado,Lar div,1,1,
24,2,San Luis,Sol Puntano,4/19/2026,,Rolado,Lar div,3,1,
24,2,San Luis,Sol Puntano,4/19/2026,,Rolado,Nel fle,1,1,
24,2,San Luis,Sol Puntano,4/19/2026,,Rolado,Mim car,1,1,
24,2,San Luis,Sol Puntano,4/19/2026,,Rolado,Cel pal,4,1,
24,3,San Luis,Sol Puntano,4/19/2026,,Rolado,Lar div,1,1,
24,3,San Luis,Sol Puntano,4/19/2026,,Rolado,Con mic,2,1,
24,3,San Luis,Sol Puntano,4/19/2026,,Rolado,Nel tor,1,1,
24,3,San Luis,Sol Puntano,4/19/2026,,Rolado,Nel fle,1,1,
24,3,San Luis,Sol Puntano,4/19/2026,,Rolado,Ata ema,1,1,
24,3,San Luis,Sol Puntano,4/19/2026,,Rolado,Lyc sp.,1,1,
24,4,San Luis,Sol Puntano,4/19/2026,,Rolado,Con mic,1,1,
24,4,San Luis,Sol Puntano,4/19/2026,,Rolado,Lyc sp.,9,1,
